ROI_name,x,y,h,w
notes_Y_0,116,73,60,53
notes_Y_1,67,73,60,39
notes_B_0,116,160,60,53
notes_B_1,67,160,60,39
notes_P_0,116,246,60,53
notes_P_1,67,246,60,39
notes_G_0,116,333,60,53
notes_G_1,67,333,60,39
pencil_0,305,73,60,53
pencil_1,259,73,60,39
eraser_0,305,160,60,53
eraser_1,259,160,60,39
tape_main_0,305,246,60,53
tape_main_1,259,246,60,39
tape_cartridge_0,305,333,60,53
tape_cartridge_1,259,333,60,39
pen_R_0,497,73,60,53
pen_R_1,449,73,60,39
pen_B_0,497,160,60,53
pen_B_1,449,160,60,39
pen_G_0,497,246,60,53
pen_G_1,449,246,60,39
pen_four_0,497,333,60,53
pen_four_1,449,333,60,39
sharpener_P_0,687,73,60,53
sharpener_P_1,639,73,60,39
sharpener_B_0,687,160,60,53
sharpener_B_1,639,160,60,39
pad_0,687,246,60,53
pad_1,639,246,60,39
anki_pen_0,687,333,60,53
anki_pen_1,639,333,60,39
post_it_0,877,73,60,53
post_it_1,830,73,60,39
glue_main_0,877,160,60,53
glue_main_1,830,160,60,39
glue_cartridge_0,877,246,60,53
glue_cartridge_1,830,246,60,39
case_B_0,877,333,60,53
case_B_1,830,333,60,39
case_P_0,877,418,60,53
case_P_1,830,418,60,39
date_0,449,454,60,53
date_1,386,454,60,53
total_1,146,435,60,53
total_2,83,435,60,53
